Time(s),Thrust(N)
0,0
0.05,6084.25895
0.1,6071.30216
0.15,6068.84843
0.2,6077.04209
0.25,6089.65788
0.3,6104.27836
0.35,6118.9305
0.4,6134.54853
0.45,6150.57399
0.5,6166.13386
0.55,6182.85651
0.6,6198.77793
0.65,6214.79987
0.7,6231.52449
0.75,6247.59372
0.8,6264.31486
0.85,6280.18038
0.9,6296.7224
0.95,6312.50066
1,6327.81858
1.05,6343.63186
1.1,6358.96786
1.15,6374.18775
1.2,6389.50694
1.25,6404.88588
1.3,6420.70969
1.35,6436.68289
1.4,6452.32052
1.45,6468.75659
1.5,6484.60958
1.55,6500.36924
1.6,6515.93538
1.65,6531.7747
1.7,6547.08526
1.75,6562.55395
1.8,6577.801
1.85,6592.87024
1.9,6607.79449
1.95,6623.03228
2,6638.03106
2.05,6652.67259
2.1,6667.56655
2.15,6682.61165
2.2,6697.16776
2.25,6712.13046
2.3,6727.2751
2.35,6741.8224
2.4,6756.12814
2.45,6770.73099
2.5,6784.6982
2.55,6798.91789
2.6,6813.38171
2.65,6827.8874
2.7,6841.65087
2.75,6855.69589
2.8,6869.32326
2.85,6882.79461
2.9,6896.04776
2.95,6909.64122
3,6923.36713
3.05,6936.86983
3.1,6949.94942
3.15,6963.06097
3.2,6976.43109
3.25,6989.38052
3.3,7002.54568
3.35,7015.55864
3.4,7028.35557
3.45,7040.93766
3.5,7053.33876
3.55,7066.00106
3.6,7078.63877
3.65,7090.83891
3.7,7102.83309
3.75,7114.80956
3.8,7126.8525
3.85,7138.71048
3.9,7150.24746
3.95,7161.57845
4,6914.49875
4.05,6350.44476
4.1,6107.40467
4.15,6027.17974
4.2,5961.35631
4.25,5904.54054
4.3,5848.16087
4.35,5802.44327
4.4,5753.62176
4.45,5707.5479
4.5,5658.18948
4.55,5616.44652
4.6,5572.80193
4.65,5534.68539
4.7,5493.94604
4.75,5455.62521
4.8,5419.15369
4.85,5378.26935
4.9,5344.52368
4.95,5310.94984
5,5277.04676
5.05,5241.50473
5.1,5207.96448
5.15,5174.44534
5.2,5144.5461
5.25,5114.53597
5.3,5082.89321
5.35,5051.8726
5.4,5021.60736
5.45,4995.60373
5.5,4964.05004
5.55,4936.40506
5.6,4907.2481
5.65,4880.98182
5.7,4854.14619
5.75,4825.81891
5.8,4797.82684
5.85,4772.24946
5.9,4743.99125
5.95,4716.2714
6,4692.66143
6.05,4667.46611
6.1,4642.49459
6.15,4617.07217
6.2,4590.33549
6.25,4563.91188
6.3,4541.33743
6.35,4514.86771
6.4,4492.54688
6.45,4471.22605
6.5,4443.91126
6.55,4420.34651
6.6,4397.81913
6.65,4375.88965
6.7,4350.68773
6.75,4328.35317
6.8,4305.59936
6.85,4285.00598
6.9,4263.82333
6.95,4243.85934
7,4217.98869
7.05,4198.10068
7.1,4175.94891
7.15,4156.77436
7.2,4133.20504
7.25,4111.44166
7.3,4092.07441
7.35,4069.35057
7.4,4048.83211
7.45,4029.01643
7.5,4007.45321
7.55,3990.60622
7.6,3967.20386
7.65,3948.01574
7.7,3931.62129
7.75,3908.64523
7.8,3886.16319
7.85,3867.7524
7.9,3847.90231
7.95,3827.62202
8,3808.02692
8.05,3791.95115
8.1,3773.81531
8.15,3755.71491
8.2,3738.61116
8.25,3717.74018
8.3,3700.07899
8.35,3684.42476
8.4,3664.45717
8.45,3648.95365
8.5,3630.40241
8.55,3614.15513
8.6,3598.60692
8.65,3582.14085
8.7,3564.95939
8.75,3549.79233
8.8,3535.52537
8.85,3520.40627
8.9,3504.66613
8.95,3487.72712
9,3474.66565
9.05,3462.05012
9.1,3465.74347
9.15,3474.05901
9.2,3482.34658
9.25,3490.60601
9.3,3498.83712
9.35,3507.03973
9.4,3515.21367
9.45,3523.35876
9.5,3531.47483
9.55,3539.5617
9.6,3547.61921
9.65,3555.64717
9.7,3563.64541
9.75,3571.61377
9.8,3579.55208
9.85,3587.46015
9.9,3595.33783
9.95,3603.18494
10,3611.00131
10.05,3618.78678
10.1,3626.54118
10.15,3634.26434
10.2,3641.9561
10.25,3649.61628
10.3,3657.24473
10.35,3664.84128
10.4,3672.40577
10.45,3679.93803
10.5,3687.4379
10.55,3694.90521
10.6,3702.33982
10.65,3709.74155
10.7,3717.11025
10.75,3724.44576
10.8,3731.74792
10.85,3739.01656
10.9,3746.25154
10.95,3753.4527
11,3760.61988
11.05,3767.75293
11.1,3774.85168
11.15,3781.916
11.2,3788.94572
11.25,3795.94069
11.3,3802.90076
11.35,3809.82579
11.4,3816.71561
11.45,3823.57008
11.5,3830.38905
11.55,3837.17238
11.6,3843.91991
11.65,3850.6315
11.7,3857.307
11.75,3863.94627
11.8,3870.54916
11.85,3877.11553
11.9,3883.64524
11.95,3890.13814
12,3896.5941
12.05,3903.01297
12.1,3909.39461
12.15,3915.73889
12.2,3922.04566
12.25,3928.31479
12.3,3934.54614
12.35,3940.73957
12.4,3946.89496
12.45,3953.01216
12.5,0
12.55,0
